iter	Passed	Remaining
0	1	148
1	2	135
2	3	127
3	4	117
4	6	115
5	7	113
6	8	115
7	9	114
8	11	112
9	12	110
10	13	109
11	14	107
12	15	105
13	17	105
14	18	103
15	19	102
16	20	100
17	21	99
18	23	98
19	24	97
20	25	95
21	26	94
22	27	92
23	28	91
24	30	90
25	31	89
26	32	87
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	80
33	40	79
34	41	77
35	43	76
36	44	75
37	45	74
38	46	72
39	47	71
40	48	70
41	49	68
42	50	66
43	51	65
44	52	64
45	54	63
46	55	62
47	56	61
48	57	60
49	58	58
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	68	49
58	69	48
59	70	47
60	71	45
61	73	44
62	74	43
63	75	42
64	76	41
65	77	40
66	78	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	25
78	93	24
79	94	23
80	95	22
81	96	21
82	97	20
83	99	18
84	100	17
85	101	16
86	102	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	117	1
99	118	0
